train_loss,test_loss,save
4.157641187422424,4.262756266600266,V
3.8486450144807614,4.193138902722444,V
3.816130533719487,4.168425257304117,V
3.8007938560198595,4.147804614873838,V
3.7918377637567233,4.133269007304117,V
3.7864798820852297,4.123646040836653,V
3.782586884567646,4.12238545816733,V
3.7781346969383534,4.1193507221115535,V
3.7762011274306992,4.115439284528552,V
3.775221090194456,4.1133020003320055,V
3.773652772031444,4.11535109561753, 
3.7725162908564336,4.1144536437583, 
3.7695878154737277,4.11261723937583,V
3.769750724038064,4.110230951195219, 
3.769022807199007,4.108965180942895,V
3.7673639842780307,4.112503112549801, 
3.7669812784443524,4.107689035524569,V
3.7669424906909392,4.106905710491368,V
3.7672586108812576,4.1109468376494025, 
3.7653508998758793,4.105380561088977,V
3.7659249586263965,4.104348232071713, 
3.7653735260653702,4.10988338313413, 
3.7645997103847746,4.110282827025232, 
3.7638226623913944,4.1117094123505975, 
