bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,136800,27600,3.939236111111111,0.40587959155701814,3.794938858695652,0.03418534873188402,V
0.05,136800,27600,3.4389597039473685,0.23216454221491256,3.771173007246377,0.040554800724637644,V
0.05,136800,27600,3.3043791118421053,0.2332625182748537,3.7455276268115942,0.040577445652173916,V
0.05,136800,27600,3.2382606907894735,0.2359456094663736,3.7578577898550725,0.051233016304347845, 
0.05,136800,27600,3.1960846125730993,0.2348760736476601,3.741598731884058,0.045229279891304416,V
0.05,136800,27600,3.1655998720760232,0.23452473958333253,3.7381227355072464,0.05124433876811603,V
0.05,136800,27600,3.1400858918128653,0.23564247532894714,3.7162590579710146,0.05555423460144928,V
0.05,136800,27600,3.1200863486842105,0.2323949195906433,3.718263134057971,0.05485903532608687, 
0.05,136800,27600,3.101731542397661,0.23294910453216325,3.723426177536232,0.05324841485507241, 
0.05,136800,27600,3.086702759502924,0.23200920595760274,3.7129302536231883,0.058666213768115906,V
0.05,136800,27600,3.071973227339181,0.23110757035818708,3.7144814311594203,0.05545233242753624, 
