train_loss,test_loss,save
14.827240566037736,11.557692307692308,V
10.705778301886792,10.403846153846153,V
9.929834905660377,9.829326923076923,V
9.439563679245284,9.40264423076923,V
9.060141509433961,9.068509615384615,V
8.77181603773585,8.813701923076923,V
8.572818396226415,8.65264423076923,V
8.409492924528301,8.504807692307692,V
8.295106132075471,8.408653846153847,V
8.190153301886792,8.295673076923077,V
8.107311320754716,8.212740384615385,V
8.029481132075471,8.15625,V
7.97877358490566,8.129807692307692,V
7.941037735849057,8.085336538461538,V
7.893573113207547,8.025240384615385,V
7.851415094339623,8.018028846153847,V
7.8116155660377355,7.925480769230769,V
7.775058962264151,7.950721153846154, 
7.744693396226415,7.908653846153846,V
7.7231721698113205,7.875,V
7.704599056603773,7.872596153846154,V
7.6727594339622645,7.84375,V
7.660966981132075,7.835336538461538,V
7.644162735849057,7.822115384615385,V
7.623820754716981,7.7764423076923075,V
7.61438679245283,7.790865384615385, 
7.592275943396227,7.774038461538462,V
7.585790094339623,7.752403846153846,V
7.563974056603773,7.751201923076923,V
7.5651533018867925,7.734375, 
7.554834905660377,7.7235576923076925,V
7.538915094339623,7.736778846153846, 
7.534492924528302,7.719951923076923,V
7.523584905660377,7.6826923076923075,V
7.5112028301886795,7.686298076923077, 
7.513266509433962,7.7079326923076925, 
7.489091981132075,7.688701923076923, 
7.49498820754717,7.674278846153846,V
7.484080188679245,7.631009615384615,V
7.492334905660377,7.673076923076923, 
7.4714033018867925,7.6766826923076925, 
7.481426886792453,7.6610576923076925, 
7.470224056603773,7.640625, 
7.471108490566038,7.617788461538462,V
7.448997641509434,7.618990384615385, 
7.457841981132075,7.65625, 
7.456073113207547,7.628605769230769, 
7.448408018867925,7.623798076923077, 
7.449292452830188,7.637019230769231, 
7.446049528301887,7.597355769230769,V
7.445754716981132,7.617788461538462, 
7.433667452830188,7.617788461538462, 
7.433962264150943,7.622596153846154, 
7.433372641509434,7.587740384615385,V
7.425707547169812,7.634615384615385, 
7.4262971698113205,7.594951923076923, 
7.42246462264151,7.566105769230769,V
7.419516509433962,7.5889423076923075, 
7.415683962264151,7.603365384615385, 
7.411556603773585,7.566105769230769, 
7.415094339622642,7.596153846153846, 
7.398584905660377,7.592548076923077, 
7.410377358490566,7.572115384615385, 
7.41126179245283,7.580528846153846, 
7.40683962264151,7.576923076923077, 
7.393867924528302,7.5829326923076925, 
7.400943396226415,7.59375, 
7.398584905660377,7.561298076923077,V
7.403301886792453,7.569711538461538, 
7.387087264150943,7.5829326923076925, 
7.392393867924528,7.575721153846154, 
7.397700471698113,7.545673076923077,V
7.385908018867925,7.5673076923076925, 
7.390625,7.592548076923077, 
7.39563679245283,7.569711538461538, 
7.389445754716981,7.537259615384615,V
7.385908018867925,7.581730769230769, 
7.386792452830188,7.570913461538462, 
