bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,203000,68700,4.012282943349754,0.23756357758620772,4.128980167394468,0.0036408296943231415,V
0.05,203000,68700,3.556276169950739,0.21237738608374362,4.044009279475983,0.006799263100436683,V
0.05,203000,68700,3.4365855911330048,0.20170543411330025,4.03902383551674,0.010898153202328972,V
0.05,203000,68700,3.3577078201970445,0.2095748922413791,4.04154385007278,0.012983078602620093, 
0.05,203000,68700,3.3031988916256156,0.21265055418719278,4.043704512372635,0.015559042940320213, 
0.05,203000,68700,3.2651893472906406,0.21671513238916335,4.0326191775836975,0.018122498180494884,V
0.05,203000,68700,3.237550800492611,0.2170179341133013,4.046292758369724,0.02173080422125189, 
0.05,203000,68700,3.216196120689655,0.21725885160098504,4.056168122270742,0.023071552037845718, 
0.05,203000,68700,3.1979079433497537,0.21794080972906343,4.043017649199418,0.024963155021834153, 
0.05,203000,68700,3.1826477832512317,0.2174008620689661,4.046911390101893,0.025923398835516715, 
0.05,203000,68700,3.1705387931034483,0.21706965825123173,4.048899199417758,0.024790756914119326, 
0.05,203000,68700,3.1595089285714284,0.2174079433497533,4.043313318777293,0.02655613173216884, 
0.05,203000,68700,3.150009236453202,0.216951200738916,4.056600254730713,0.026678038573508017, 
0.05,203000,68700,3.141557881773399,0.21675969827586222,4.063719068413391,0.0272796124454148, 
