train_loss,test_loss,save
7.654233870967742,8.016666666666667,V
7.607358870967742,7.8625,V
7.580645161290323,7.80625,V
7.567540322580645,7.764583333333333,V
7.553931451612903,7.73125,V
7.545866935483871,7.708333333333333,V
7.532258064516129,7.670833333333333,V
7.523185483870968,7.658333333333333,V
7.519657258064516,7.620833333333334,V
7.507056451612903,7.64375, 
7.501512096774194,7.614583333333333,V
7.501512096774194,7.620833333333334, 
7.496975806451613,7.591666666666667,V
7.492943548387097,7.595833333333333, 
7.488407258064516,7.591666666666667, 
7.486391129032258,7.58125,V
7.482862903225806,7.560416666666667,V
7.475302419354839,7.56875, 
7.473790322580645,7.572916666666667, 
7.469758064516129,7.575, 
7.478326612903226,7.572916666666667, 
7.468245967741935,7.575, 
7.465221774193548,7.55,V
7.466229838709677,7.55, 
7.458165322580645,7.554166666666666, 
7.458165322580645,7.545833333333333,V
7.452116935483871,7.533333333333333,V
7.451108870967742,7.547916666666667, 
7.450100806451613,7.539583333333334, 
7.452116935483871,7.545833333333333, 
7.446572580645161,7.541666666666667, 
7.447076612903226,7.527083333333334,V
7.443548387096774,7.522916666666666,V
7.442540322580645,7.527083333333334, 
7.447076612903226,7.533333333333333, 
7.440524193548387,7.539583333333334, 
7.436491935483871,7.504166666666666,V
7.443548387096774,7.529166666666667, 
7.438508064516129,7.522916666666666, 
7.433971774193548,7.504166666666666, 
7.433467741935484,7.51875, 
7.434475806451613,7.51875, 
