train_loss,test_loss,save
10.796580188679245,7.996394230769231,V
6.941037735849057,6.319711538461538,V
5.706367924528302,5.195913461538462,V
4.475825471698113,4.0108173076923075,V
3.6033313679245285,3.558293269230769,V
3.271373820754717,3.265625,V
3.086232311320755,3.1346153846153846,V
2.9705188679245285,3.0492788461538463,V
2.8822228773584904,2.9705528846153846,V
2.816111438679245,2.923076923076923,V
2.7855247641509435,2.8623798076923075,V
2.746757075471698,2.8515625,V
2.7085790094339623,2.8305288461538463,V
2.6807193396226414,2.80859375,V
2.6639150943396226,2.7986778846153846,V
2.6359817216981134,2.7764423076923075,V
2.613060141509434,2.7716346153846154,V
2.5944870283018866,2.735576923076923,V
2.582694575471698,2.708233173076923,V
2.56920695754717,2.7013221153846154,V
2.5581515330188678,2.6841947115384617,V
2.5425265330188678,2.6742788461538463,V
2.5350088443396226,2.6742788461538463, 
2.524616745283019,2.667668269230769,V
2.519015330188679,2.6150841346153846,V
2.510097287735849,2.6595552884615383, 
2.500515919811321,2.670673076923077, 
2.500294811320755,2.6280048076923075, 
2.4909345518867925,2.6475360576923075, 
2.477962853773585,2.640625, 
2.4769310141509435,2.6268028846153846, 
2.4780365566037736,2.6177884615384617, 
2.462116745283019,2.6189903846153846, 
2.4557045990566038,2.6072716346153846,V
2.4599056603773586,2.6060697115384617, 
2.4514298349056602,2.633112980769231, 
2.444649174528302,2.6216947115384617, 
2.4422169811320753,2.618389423076923, 
2.451724646226415,2.5772235576923075,V
