Name,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
generate_beam,1.9366666666666668,1.0,0.84712267,0.36489964,0.07549757721986526,0.005497781038297983,0.0012795184564801242,7.263263514660026e-05
generate2,2.243333333333333,1.0,0.61993563,0.38227803,0.08823844837002691,0.005860706067413679,0.0009148169975542723,1.408181756992683e-308
train,8.8,1.0,0.18583715,0.32316467,0.20825893600221182,0.07195545760102813,0.04915229689925338,0.04250953892221422
ground_truth,-,-,0.8746107,0.46174073,-,-,-,-
