Name,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
generate_beam,1.3343605546995378,1.0,0.95761096,0.34453517,0.04923872601833049,0.0015144878695076513,0.0001187775475773093,1.071949792916165e-308
generate2,1.4029275808936825,1.0,0.9153622,0.41694734,0.05307849237858811,0.0015190412078855992,1.0592881148238e-308,1.0592881148238e-308
train,14.785053929121725,1.0,0.35389358,0.37139294,0.08327733361612391,0.011262624562196644,0.002226946248965459,0.00047661577455463506
ground_truth,-,-,0.7417267,0.5296937,-,-,-,-
