train_loss,test_loss,save
8068.129032258064,8064.0,V
8064.0,8064.0, 
8064.0,8064.0, 
8062.967741935484,8064.0, 
8061.935483870968,8064.0, 
8061.935483870968,8064.0, 
8054.709677419355,8059.428571428572,V
8052.645161290323,8054.857142857143,V
8048.5161290322585,8045.714285714285,V
8044.387096774193,8036.571428571428,V
8038.193548387097,8036.571428571428, 
8042.322580645161,8036.571428571428, 
8036.129032258064,8036.571428571428, 
8037.1612903225805,8036.571428571428, 
8033.032258064516,8032.0,V
8035.096774193548,8036.571428571428, 
8033.032258064516,8032.0, 
8032.0,8036.571428571428, 
8034.064516129032,8036.571428571428, 
8034.064516129032,8032.0, 
