bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,162050,40520,3.3963479310664035,0.32400825027770846,2.924828788252715,0.012587148321816411,V
0.05,162050,40520,2.8628849358183164,0.21815649299555806,2.440621529491609,0.030985084526159952,V
0.05,162050,40520,2.7709159389656874,0.14958083266477407,2.370087302566634,0.03283525111056266,V
0.05,162050,40520,2.7265229650086398,0.14772085596149043,2.343194718657453,0.03789602356860803,V
0.05,162050,40520,2.703893521661318,0.14642507251295978,2.320029075148075,0.03825657082922012,V
0.05,162050,40520,2.687387180634411,0.1481504373920019,2.2976886414116486,0.042427736303060154,V
0.05,162050,40520,2.6759596395951615,0.1483473409343379,2.298193793188549,0.03111079405231984, 
0.05,162050,40520,2.6641984617995558,0.14615710241298446,2.2885785568854886,0.038299373766041485,V
0.05,162050,40520,2.6544622469760553,0.14684443270180159,2.2795552350691017,0.04446261105626846,V
0.05,162050,40520,2.645469482843742,0.14671570291286115,2.2784292479022703,0.04052165597235933,V
0.05,162050,40520,2.6408892094544556,0.14601998349172976,2.2778816788005924,0.03608634624876606,V
0.05,162050,40520,2.6334682022957296,0.14530343588002914,2.275913129318855,0.042586994076999056,V
0.05,162050,40520,2.629353670390027,0.14536871682917782,2.270491423988154,0.04488408501974329,V
0.05,162050,40520,2.622056089545791,0.1441984810849162,2.2673756786771966,0.03988848099703847,V
0.05,162050,40520,2.615233892865959,0.14302419541471317,2.2737826227788744,0.03978166646100693, 
0.05,162050,40520,2.6173388900888668,0.14294512543199217,2.277328325518263,0.040853667941757196, 
0.05,162050,40520,2.609530247161195,0.14286104125524562,2.2718179294175718,0.041507665967423474, 
0.05,162050,40520,2.6054620001234263,0.1441000293137501,2.285854207798618,0.04319818916584394, 
0.05,162050,40520,2.604765316434214,0.14612325660330722,2.2720030231984207,0.044914162759131286, 
0.05,162050,40520,2.5989136555788694,0.14491097877067363,2.2719818145360318,0.039224842670286274, 
0.05,162050,40520,2.597284042520365,0.14272604372377215,2.2682702986179666,0.048898306391905254, 
0.05,162050,40520,2.5930644053937297,0.1423114084485311,2.2632669823543927,0.04709826937314909,V
0.05,162050,40520,2.591159975931869,0.14299497809182837,2.26554980565153,0.040299543435340625, 
0.05,162050,40520,2.5854158309676625,0.14331781504566754,2.2542050993336624,0.03941687746791702,V
