Name,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
generate_beam,0.6607142857142857,1.0,0.9357929,0.4501204,0.03134316001808304,1.033070005735515e-308,1.033070005735515e-308,1.033070005735515e-308
generate2,0.10714285714285714,1.0,0.17005637,0.5154757,0.0019700830871061344,2.384007705543496e-309,2.384007705543496e-309,2.384007705543496e-309
train,2.0892857142857144,1.0,0.2009294,0.4233536,0.13110576707280036,0.028020970436664367,0.004464285714285714,1.5563667971065666e-308
ground_truth,-,-,0.8454698,0.5059119,-,-,-,-
