bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,368609,92155,3.277534929462832,0.1773306514514386,3.1698926226394617,0.0539786601910134,V
0.05,368609,92155,3.131517905588714,0.1359622558328812,3.11863231224224,0.0520488522899932,V
0.05,368609,92155,3.092149772788931,0.1390253662506783,3.0990306869980464,0.0550081737030605,V
0.05,368609,92155,3.0697198860553447,0.1410647127645142,3.087100811265465,0.0568513267853267,V
0.05,368609,92155,3.0526892295170915,0.10650616352414566,3.079362925982201,0.05811146760364679,V
0.05,368609,92155,3.040455863402062,0.14410811177428134,3.0713859344475796,0.058305635446060294,V
0.05,368609,92155,3.02900629069452,0.14444430785404205,3.069395078141958,0.05915793900586079,V
0.05,368609,92155,3.019276909251221,0.1441694502848616,3.0675534512698066,0.05975502631864559,V
0.05,368609,92155,3.010463154503527,0.14500924104720572,3.0647587909702625,0.06091341979596263,V
0.05,368609,92155,3.001547239555073,0.14472870320130185,3.0655354623399176,0.06266737437594957, 
0.05,368609,92155,2.9928915999728702,0.1456611163863261,3.066971795637074,0.06194259415020604, 
0.05,368609,92155,2.9852863876831255,0.1456114775501902,3.0648486677881484,0.06268721510744522, 
0.05,368609,92155,2.9771445164134565,0.1451172086950622,3.067634849142609,0.0633835060777079, 
0.05,368609,92155,2.970579557786218,0.14531063483450998,3.0695036086390277,0.06218950103103976, 
0.05,368609,92155,2.9625076302224636,0.14563695401519217,3.0711383492511395,0.06564772357282389, 
0.05,368609,92155,2.952417508817146,0.1457919747015748,3.0780113821358803,0.06748545013023663, 
0.05,368609,92155,2.9440149382799783,0.14600083084644613,3.0780385147601477,0.06794229569133932, 
0.05,368609,92155,2.9352584102007597,0.14624012310092202,3.083188626003907,0.0668259577816367, 
0.05,368609,92155,2.927271262886598,0.14659302088985346,3.086619207184719,0.06808677691556325, 
