bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,79062,112,11.222647356438149,0.34267644826713767,11.6375,0.25906250000000003,V
0.05,79062,112,9.73397577789021,0.33116936503921024,12.575,0.22640625, 
0.05,79062,112,8.464085820895523,0.37914519036175065,12.8125,0.21640625, 
0.05,79062,112,8.067931001770807,0.3953587465216294,12.875,0.20765625000000001, 
0.05,79062,112,7.889403617505692,0.40491122248924893,13.025,0.20249999999999999, 
0.05,79062,112,7.779336896028333,0.41141004458639063,13.0375,0.20578124999999997, 
