Name,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
generate_beam,1.3903436988543372,1.0,0.95796627,0.3401587,0.05069785245332053,0.0016802060540633632,1.151275686623101e-308,1.151275686623101e-308
generate2,1.5433715220949265,1.0,0.92530614,0.42091632,0.0570400947122304,0.0018603462538855817,3.585570270224903e-05,1.178735723072008e-308
train,15.081833060556464,1.0,0.35339335,0.37492436,0.08476167126607252,0.012097139300200633,0.002429208057908847,0.0004465861468576711
ground_truth,-,-,0.740407,0.5301277,-,-,-,-
