train_loss,test_loss,save
1.4604788836786302,1.8165346043450492,V
1.422799690295074,1.7274080685206823,V
1.4018115209320845,1.7461529970169067, 
1.3889569104728052,1.5141693353652954,V
1.3700989565606845,1.5028568846838815,V
1.3490698155710252,1.5347195523125785, 
1.3315923557443134,1.5605035849979945, 
1.306186528529151,1.5240695476531982, 
1.285284175711163,1.5737637451716833, 
1.2697793689824768,1.6362673555101668, 
1.2523541895009704,1.5076715435300554, 
1.2373478634882782,1.5764389378683907, 
1.2191016047687855,1.5506057909556799, 
1.2029971611701835,1.5198314019611903, 
1.1889673390630948,1.5432558229991369, 
1.1747936374050076,1.6028782640184676, 
1.1621105125394917,1.5558973550796509, 
