train_loss,test_loss,save
9.039314516129032,8.097916666666666,V
8.001512096774194,7.495833333333334,V
7.688508064516129,7.222916666666666,V
7.501512096774194,7.035416666666666,V
7.345262096774194,6.90625,V
7.231854838709677,6.7625,V
7.122479838709677,6.658333333333333,V
7.034778225806452,6.575,V
6.956149193548387,6.495833333333334,V
6.890625,6.4125,V
6.826612903225806,6.335416666666666,V
6.778729838709677,6.291666666666667,V
6.748487903225806,6.239583333333333,V
6.714213709677419,6.191666666666666,V
6.683467741935484,6.164583333333334,V
6.655241935483871,6.110416666666667,V
6.627016129032258,6.0875,V
6.597782258064516,6.05625,V
6.58366935483871,6.029166666666667,V
6.552923387096774,6.00625,V
6.537802419354839,5.964583333333334,V
6.512096774193548,5.9625,V
6.498487903225806,5.939583333333333,V
6.498487903225806,5.91875, 
6.477318548387097,5.89375,V
6.468245967741935,5.8875,V
6.460181451612903,5.86875,V
6.447076612903226,5.858333333333333,V
6.444052419354839,5.83125,V
6.424395161290323,5.822916666666667,V
6.416834677419355,5.8125,V
6.40070564516129,5.791666666666667,V
6.394657258064516,5.775,V
6.388608870967742,5.764583333333333,V
6.374495967741935,5.760416666666667,V
6.362399193548387,5.745833333333334,V
6.355342741935484,5.7375,V
6.352822580645161,5.71875,V
6.338709677419355,5.716666666666667,V
6.336693548387097,5.691666666666666,V
6.330645161290323,5.720833333333333, 
6.324092741935484,5.6875,V
6.324092741935484,5.675, 
6.316028225806452,5.6875, 
6.314516129032258,5.683333333333334,V
6.309475806451613,5.664583333333334,V
6.308467741935484,5.664583333333334, 
6.299899193548387,5.658333333333333,V
6.297883064516129,5.645833333333333,V
6.287802419354839,5.652083333333334, 
6.29133064516129,5.6375,V
6.283770161290323,5.645833333333333, 
6.288306451612903,5.64375, 
6.280241935483871,5.625,V
6.278729838709677,5.633333333333334, 
6.278729838709677,5.64375, 
6.270161290322581,5.633333333333334, 
6.272681451612903,5.625, 
6.274193548387097,5.61875,V
6.266633064516129,5.620833333333334, 
6.264616935483871,5.614583333333333,V
6.262600806451613,5.597916666666666,V
6.26008064516129,5.608333333333333, 
6.252016129032258,5.6125, 
6.254032258064516,5.597916666666666, 
6.245463709677419,5.60625, 
6.253024193548387,5.595833333333333,V
6.247479838709677,5.597916666666666, 
6.251008064516129,5.583333333333333,V
6.250504032258065,5.591666666666667, 
6.250504032258065,5.585416666666666, 
6.245967741935484,5.575,V
6.237399193548387,5.579166666666667, 
6.233366935483871,5.595833333333333, 
6.237903225806452,5.577083333333333, 
6.233870967741935,5.5625,V
6.247479838709677,5.583333333333333, 
6.238407258064516,5.56875, 
6.243447580645161,5.572916666666667, 
6.234375,5.58125, 
6.238911290322581,5.566666666666666, 
6.234375,5.55, 
6.238407258064516,5.572916666666667, 
6.237903225806452,5.564583333333333, 
6.236391129032258,5.577083333333333, 
6.241431451612903,5.566666666666666, 
6.225302419354839,5.564583333333333, 
6.230342741935484,5.564583333333333, 
6.232862903225806,5.55,V
6.230846774193548,5.560416666666667, 
6.223790322580645,5.560416666666667, 
6.225806451612903,5.566666666666666, 
6.234879032258065,5.545833333333333, 
6.221270161290323,5.56875, 
6.220262096774194,5.547916666666667,V
6.227318548387097,5.554166666666666, 
6.229838709677419,5.55625, 
6.225302419354839,5.552083333333333, 
6.221270161290323,5.55, 
6.219254032258065,5.560416666666667, 
6.216733870967742,5.54375,V
6.212701612903226,5.541666666666667,V
6.223790322580645,5.55, 
6.218245967741935,5.55, 
