bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,179200,63000,3.7401313724259166,0.4223711563145284,4.037299107142857,0.05919593253968257,V
0.05,179200,63000,3.401211702661979,0.200459620375021,4.0223177083333335,0.05891319444444445,V
0.05,179200,63000,3.336293267620961,0.19830801104972365,4.001674107142857,0.06870585317460312,V
0.05,179200,63000,3.2970228005190023,0.19849313228974821,3.9889769345238095,0.07046304563492052,V
0.05,179200,63000,3.267173635526536,0.20005737624867476,3.989906994047619,0.07783159722222203, 
0.05,179200,63000,3.242450401808137,0.2009350235783252,3.983076636904762,0.0789913194444444,V
0.05,179200,63000,3.2243899631675874,0.20148934092304235,3.9728236607142855,0.07677405753968258,V
0.05,179200,63000,3.208245699397288,0.2013933359841508,3.954278273809524,0.07976339285714294,V
0.05,179200,63000,3.193939132345555,0.20156982462748985,3.9638504464285713,0.07975595238095232, 
0.05,179200,63000,3.1807273355097943,0.2009292685138676,3.9720200892857145,0.07972792658730166, 
0.05,179200,63000,3.1691897392432615,0.20244851833249672,3.9703050595238096,0.08058283730158748, 
0.05,179200,63000,3.158515402645237,0.20315429850996058,3.961201636904762,0.08046577380952395, 
0.05,179200,63000,3.1484165724928848,0.2037942442379594,3.9610044642857143,0.08229538690476193, 
0.05,179200,63000,3.1385270174116857,0.20454440817009792,3.9650223214285716,0.08316666666666672, 
0.05,179200,63000,3.1300958479825884,0.20479423028628754,3.976268601190476,0.08101636904761897, 
0.05,179200,63000,3.1224625397622634,0.20481262905296116,3.9696540178571427,0.07964285714285707, 
0.05,179200,63000,3.114958720492215,0.2038254611027399,3.9756324404761907,0.08407936507936495, 
0.05,179200,63000,3.107704723338356,0.20509724314972994,3.965628720238095,0.08176587301587317, 
0.05,179200,63000,3.1015598840616105,0.20528157960823729,3.9726004464285714,0.07972222222222232, 
0.05,179200,63000,3.0953195630336516,0.20612583012444888,3.986488095238095,0.08416269841269838, 
0.05,179200,63000,3.0882617612589986,0.20574303114013148,3.981283482142857,0.08211830357142859, 
0.05,179200,63000,3.0829278628829733,0.20629377336904936,3.976447172619048,0.08181076388888903, 
0.05,179200,63000,3.0771139398124894,0.20612844606283798,3.988381696428571,0.08270436507936475, 
0.05,179200,63000,3.072536047631006,0.20654228751604395,3.974940476190476,0.08058482142857132, 
