bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,39244,56,14.069221457696228,0.705492243246686,12.40625,0.866015625,V
0.05,39244,56,11.889748980632008,0.740448999745157,11.6875,0.82265625,V
0.05,39244,56,11.450114678899082,0.7526316418195711,11.71875,0.816796875, 
0.05,39244,56,11.25308995922528,0.7591301127675828,11.625,0.8203125,V
0.05,39244,56,11.125700815494394,0.7620659722222232,11.5,0.841015625,V
0.05,39244,56,11.021693425076453,0.7640378121814458,11.375,0.8539062500000001,V
0.05,39244,56,10.922559887869522,0.7660148286187568,11.375,0.8171875, 
0.05,39244,56,10.872993119266056,0.7673404051987764,11.375,0.84921875, 
0.05,39244,56,10.826930428134556,0.7684421986493368,11.4375,0.834375, 
0.05,39244,56,10.787015800203873,0.7691975662589191,11.5625,0.858203125, 
0.05,39244,56,10.745954383282365,0.7701337124108066,11.28125,0.8421875000000001,V
0.05,39244,56,10.7118374108053,0.7710985282874623,11.53125,0.83359375, 
0.05,39244,56,10.6904625382263,0.7716902395514755,11.34375,0.82109375, 
0.05,39244,56,10.660805300713557,0.7722015163098879,11.40625,0.859765625, 
