train_loss,test_loss,save
16.110887096774192,16.066666666666666,V
16.046370967741936,16.05,V
16.027217741935484,15.995833333333334,V
15.993951612903226,16.0, 
15.96875,15.975,V
15.950604838709678,15.95,V
15.952620967741936,15.954166666666667, 
15.928427419354838,15.908333333333333,V
15.901209677419354,15.920833333333333, 
15.897177419354838,15.908333333333333, 
15.87600806451613,15.891666666666667,V
15.86491935483871,15.904166666666667, 
15.850806451612904,15.866666666666667,V
15.84274193548387,15.858333333333333,V
15.830645161290322,15.875, 
15.835685483870968,15.85,V
15.829637096774194,15.845833333333333,V
15.817540322580646,15.841666666666667,V
15.819556451612904,15.875, 
15.82358870967742,15.8625, 
15.81149193548387,15.829166666666667,V
15.788306451612904,15.833333333333334, 
15.809475806451612,15.841666666666667, 
15.803427419354838,15.808333333333334,V
15.798387096774194,15.8125, 
15.798387096774194,15.804166666666667,V
15.783266129032258,15.833333333333334, 
15.797379032258064,15.795833333333333,V
