train_loss,test_loss,save
4.91675,16.598790322580644,V
4.035125,15.372983870967742,V
3.557,14.64516129032258,V
3.241,13.877016129032258,V
3.042125,13.76008064516129,V
2.909875,13.673387096774194,V
2.811,13.737903225806452, 
2.755875,13.693548387096774, 
2.700625,13.737903225806452, 
2.67625,13.78225806451613, 
2.6355,13.915322580645162, 
2.6205,13.975806451612904, 
2.616875,14.058467741935484, 
2.57825,14.03225806451613, 
2.55125,14.096774193548388, 
2.55725,14.153225806451612, 
2.553,14.262096774193548, 
