Name,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
generate_beam,1.322804314329738,1.0,0.9604137,0.32364985,0.048524986282933086,0.0015333332576085476,1.0808575532526394e-308,1.0808575532526394e-308
generate2,1.5654853620955316,1.0,0.9060324,0.4003404,0.05886076295359845,0.0015316254269864306,1.201685016157473e-308,1.201685016157473e-308
train,14.570107858243452,1.0,0.37214258,0.3506975,0.07968653895403781,0.01002469621931849,0.001702296635186263,0.00037640872719001215
ground_truth,-,-,0.7417267,0.5296937,-,-,-,-
