bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,60197,75,7.682033391477698,0.47285488827975614,21.425,0.15729166666666666,V
0.05,60197,75,4.277531615998006,0.5648722381427027,25.75,0.16104166666666667, 
0.05,60197,75,3.622282270122103,0.5899215570230102,27.55,0.160625, 
0.05,60197,75,3.3674619985048593,0.6019247341971904,28.65,0.16020833333333334, 
0.05,60197,75,3.227605983678046,0.6089846021264248,28.925,0.15895833333333334, 
0.05,60197,75,3.148614658609519,0.6151333686352688,29.275,0.15833333333333333, 
0.05,60197,75,3.0812982805880886,0.6202586385912459,29.425,0.15708333333333332, 
0.05,60197,75,3.01976583914777,0.6247072015948159,29.825,0.1589583333333333, 
0.05,60197,75,2.9650432967854474,0.6285519976742248,29.975,0.16145833333333334, 
0.05,60197,75,2.923356513207077,0.63207777846997,30.1,0.15375, 
0.05,60197,75,2.8870351046598555,0.6359500892931284,30.075,0.15395833333333334, 
0.05,60197,75,2.8522458260652876,0.6389577622726126,30.175,0.15541666666666668, 
0.05,60197,75,2.820736901943683,0.6420775708115298,30.15,0.153125, 
0.05,60197,75,2.7914375934462994,0.6452264515325203,30.3,0.153125, 
0.05,60197,75,2.7625879952653873,0.6482094650718503,30.25,0.15229166666666666, 
0.05,60197,75,2.736683902317468,0.6509676883462062,30.325,0.14958333333333335, 
0.05,60197,75,2.7117629423124843,0.6536033931389647,30.375,0.155, 
0.05,60197,75,2.688448090580613,0.6560034055984709,30.425,0.15166666666666664, 
0.05,60197,75,2.666564135310242,0.6582762272614007,30.425,0.15229166666666666, 
0.05,60197,75,2.6451805071019185,0.6605397042943743,30.475,0.148125, 
0.05,60197,75,2.625591826563668,0.6625446465653287,30.45,0.14979166666666668, 
0.05,60197,75,2.605315926364316,0.665042258493231,30.575,0.14791666666666664, 
0.05,60197,75,2.587603959008223,0.667000477614418,30.5,0.15125000000000002, 
