train_loss,test_loss,save
3.9742943548387095,3.9464285714285716,V
3.9329637096774195,3.908482142857143,V
3.900201612903226,3.877232142857143,V
3.8704637096774195,3.84375,V
3.8382056451612905,3.8169642857142856,V
3.8079637096774195,3.7857142857142856,V
3.780241935483871,3.7589285714285716,V
3.756048387096774,3.736607142857143,V
3.7368951612903225,3.71875,V
3.7162298387096775,3.705357142857143,V
3.7006048387096775,3.689732142857143,V
3.6880040322580645,3.6763392857142856,V
3.680443548387097,3.671875,V
3.6693548387096775,3.65625,V
3.660282258064516,3.658482142857143, 
3.6547379032258065,3.65625, 
3.6517137096774195,3.640625,V
3.6461693548387095,3.6361607142857144,V
3.642641129032258,3.6361607142857144, 
3.6391129032258065,3.6316964285714284,V
3.6330645161290325,3.622767857142857,V
3.6315524193548385,3.622767857142857, 
3.6255040322580645,3.6183035714285716,V
3.625,3.6160714285714284,V
3.6244959677419355,3.609375,V
3.620967741935484,3.6138392857142856, 
3.6194556451612905,3.607142857142857,V
3.6118951612903225,3.611607142857143, 
3.614415322580645,3.6004464285714284,V
3.6108870967741935,3.6026785714285716, 
3.605342741935484,3.6004464285714284, 
3.600806451612903,3.59375,V
3.596774193548387,3.591517857142857,V
3.5942540322580645,3.591517857142857, 
3.592741935483871,3.5870535714285716,V
3.588709677419355,3.5825892857142856,V
3.5836693548387095,3.5736607142857144,V
3.5776209677419355,3.5625,V
3.567540322580645,3.5580357142857144,V
3.5589717741935485,3.5401785714285716,V
3.5347782258064515,3.515625,V
3.517641129032258,3.5,V
3.5005040322580645,3.4910714285714284,V
3.493951612903226,3.4776785714285716,V
3.4868951612903225,3.4754464285714284,V
3.4808467741935485,3.4732142857142856,V
3.477318548387097,3.46875,V
3.4763104838709675,3.470982142857143, 
3.4742943548387095,3.4598214285714284,V
3.4692540322580645,3.4642857142857144, 
3.460181451612903,3.4441964285714284,V
3.4420362903225805,3.4263392857142856,V
3.4274193548387095,3.4129464285714284,V
3.4138104838709675,3.408482142857143,V
3.4339717741935485,3.439732142857143, 
3.5045362903225805,3.5089285714285716, 
3.522681451612903,3.517857142857143, 
3.5317540322580645,3.5379464285714284, 
3.5423387096774195,3.5401785714285716, 
3.5423387096774195,3.546875, 
