bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,43468,56,5.807099919466176,0.6493488984123327,4.953125,0.82265625,V
0.05,43468,56,4.345806488725264,0.6835822451679685,4.484375,0.8546875,V
0.05,43468,56,4.048262770363553,0.6939955562586281,4.4375,0.8390625,V
0.05,43468,56,3.8938247814081914,0.7024228457202017,4.65625,0.829296875, 
0.05,43468,56,3.7940131730326736,0.7078962695582139,4.625,0.8492187499999999, 
0.05,43468,56,3.7263575701794753,0.7102601530142644,4.40625,0.85,V
0.05,43468,56,3.6755924988495168,0.7119883945006923,4.5625,0.83203125, 
0.05,43468,56,3.634793488265071,0.7118524936723427,4.796875,0.825, 
0.05,43468,56,3.6015589047399907,0.7113369333870211,4.59375,0.8285156250000001, 
0.05,43468,56,3.5738825931891394,0.710338170156465,4.71875,0.81875, 
0.05,43468,56,3.55089450069029,0.7102712983202958,4.6875,0.8203125, 
0.05,43468,56,3.5284241256327658,0.7112380637367688,4.671875,0.843359375, 
0.05,43468,56,3.5080821445006904,0.7124956856879874,4.703125,0.825, 
0.05,43468,56,3.4907673722963644,0.7135156609526019,4.609375,0.83515625, 
0.05,43468,56,3.47182035204786,0.714907745628165,4.8125,0.823046875, 
0.05,43468,56,3.455785492406811,0.7158784658306493,4.828125,0.8234375, 
0.05,43468,56,3.4405487804878048,0.7165597676023934,4.734375,0.8402343750000001, 
0.05,43468,56,3.4267933156925907,0.7174995685687988,4.921875,0.83125, 
0.05,43468,56,3.412103083294984,0.7180906293143117,4.828125,0.823828125, 
0.05,43468,56,3.3998216751035435,0.7187758858720666,4.890625,0.82734375, 
0.05,43468,56,3.387439599631845,0.7195621692360781,4.796875,0.833203125, 
0.05,43468,56,3.3764165324436264,0.7204084934422453,4.828125,0.8531249999999999, 
0.05,43468,56,3.3644443166129774,0.7218566641739536,5.109375,0.837890625, 
0.05,43468,56,3.3527812931431202,0.722837451104464,4.90625,0.8304687500000001, 
0.05,43468,56,3.3413771283939253,0.7235457173262769,4.921875,0.822265625, 
0.05,43468,56,3.3309940174873445,0.7243391912103085,4.90625,0.8359375, 
0.05,43468,56,3.3202513805798435,0.7252412419466158,5.0,0.8246093750000001, 
0.05,43468,56,3.310486654394846,0.7259113984123347,4.921875,0.8390625, 
0.05,43468,56,3.2993844914864243,0.7266207432121503,5.203125,0.83671875, 
0.05,43468,56,3.290540151863783,0.727050017257248,5.046875,0.833984375, 
0.05,43468,56,3.2810702369995397,0.7279502703635524,4.921875,0.8539062500000001, 
0.05,43468,56,3.2699752646111366,0.7283630062126101,4.890625,0.8316406249999999, 
0.05,43468,56,3.260821732627704,0.7288321876438103,5.046875,0.83125, 
0.05,43468,56,3.250733433041878,0.7295357800276112,5.078125,0.831640625, 
0.05,43468,56,3.241040612057064,0.7301768148872514,5.0625,0.825, 
0.05,43468,56,3.2320740335941096,0.7310950442936033,4.96875,0.8234375, 
0.05,43468,56,3.222230211688909,0.7318335106994937,4.953125,0.839453125, 
0.05,43468,56,3.212623676944317,0.7329131672802569,5.125,0.830078125, 
0.05,43468,56,3.2037649562816384,0.7334395133456048,5.09375,0.841796875, 
0.05,43468,56,3.1948127588587205,0.733875977910723,5.140625,0.837109375, 
0.05,43468,56,3.1865868039576624,0.7345047888863319,5.15625,0.834375, 
0.05,43468,56,3.1789217096180398,0.7347201449608829,5.140625,0.841796875, 
0.05,43468,56,3.171436378278877,0.7352126955821447,5.203125,0.85078125, 
0.05,43468,56,3.16270708697653,0.7358080706396687,5.203125,0.826953125, 
0.05,43468,56,3.1564297630004603,0.7363649764150942,5.03125,0.829296875, 
0.05,43468,56,3.148721525540727,0.7370207518407738,5.046875,0.835546875, 
0.05,43468,56,3.141502243442246,0.7370789950529241,5.140625,0.8441406250000001, 
0.05,43468,56,3.133829958582605,0.7377444776806235,5.171875,0.8304687500000001, 
0.05,43468,56,3.126251150483203,0.7383531552001841,5.34375,0.8277343749999999, 
0.05,43468,56,3.118952772664519,0.7388507391854578,5.265625,0.8382812500000001, 
0.05,43468,56,3.1115465370455593,0.7391272146801653,5.328125,0.833203125, 
0.05,43468,56,3.1037807754256788,0.7397610590197887,5.34375,0.833203125, 
0.05,43468,56,3.097668833410032,0.7397718447998162,5.390625,0.83359375, 
0.05,43468,56,3.0909025540727106,0.7403470864012872,5.109375,0.82734375, 
0.05,43468,56,3.083855844454671,0.7406383024620345,5.421875,0.818359375, 
