bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,39244,56,12.739583333333334,0.718571610601427,10.4375,0.83203125,V
0.05,39244,56,10.792399337410805,0.7531863213557591,10.1875,0.844140625,V
0.05,39244,56,10.423069571865444,0.7610179345056077,10.03125,0.84140625,V
0.05,39244,56,10.285168195718654,0.7643241112385324,10.21875,0.835546875, 
0.05,39244,56,10.199095310907238,0.7656664118246702,10.0625,0.838671875, 
0.05,39244,56,10.136276758409785,0.7673005861365956,10.125,0.819921875, 
0.05,39244,56,10.087028542303772,0.7683450401376144,10.0625,0.837890625, 
0.05,39244,56,10.047878440366972,0.7693886977573895,10.25,0.8179687499999999, 
0.05,39244,56,10.011372324159021,0.7702197215851181,10.15625,0.8203125, 
0.05,39244,56,9.97887996941896,0.770952790519878,10.1875,0.84140625, 
0.05,39244,56,9.95269495412844,0.7717212984199802,10.25,0.83671875, 
0.05,39244,56,9.926892201834862,0.7726192182721696,10.3125,0.83984375, 
