train_loss,test_loss,save
10.545026711697849,7.935396176118117,V
6.878317477568141,6.22166580420274,V
5.356092232578206,4.606873356378996,V
3.9052303422172114,3.6250264094426083,V
3.359350912975815,3.3245112070670495,V
3.1316274089633294,3.160931807297927,V
2.984324816262947,3.051156383294326,V
2.8835149868479313,2.9681088832708507,V
2.8189788078362086,2.9113423916009755,V
2.7643818855285645,2.854249119758606,V
2.723012345017127,2.8301693751261783,V
2.6929863702576116,2.7960908917280345,V
2.6598181443394355,2.7874454259872437,V
2.6381280950780184,2.7700721208865824,V
2.6164989910035765,2.745870911158048,V
2.594849371685172,2.706607699394226,V
2.582102411198166,2.710440145089076, 
2.5623089536181034,2.679994514355293,V
2.5528160873449073,2.676854683802678,V
2.5388664130894645,2.699192932018867, 
